Id;Title;Distributor;Genre
202;Salaam-e-Ishq (A Tribute to…;Eros Entertainment;Romantic-Comedy
203;Namastey London;Eros Entertainment;Romantic-Comedy
204;Partner;Eros Entertainment;Romantic-Comedy
205;Broken English;Magnolia Pictures;Romantic-Comedy
206;Cheeni Kum;Eros Entertainment;Romantic-Comedy
207;Angel-A;Sony Pictures Cla…;Romantic-Comedy
208;Americanizing Shelley;Rocky Mountain Pi…;Romantic-Comedy
209;David & Layla;Newroz Films;Romantic-Comedy
210;Dedication;Weinstein/Dimension;Romantic-Comedy
211;Puccini for Beginners;Strand;Romantic-Comedy
212;Blind Dating;Samuel Goldwyn Films;Romantic-Comedy
213;The Treatment;New Yorker;Romantic-Comedy
214;Gray Matters;Yari Film Group R…;Romantic-Comedy
215;Falling for Grace;Slowhand Cinema;Romantic-Comedy
216;Gringo Wedding;Self Distributed;Romantic-Comedy
217;The Good Night;Sony Pictures;Romantic-Comedy
218;American Fusion;Wildcat Releasing;Romantic-Comedy
220;What Happens in Vegas...;20th Century Fox;Romantic-Comedy
221;27 Dresses;20th Century Fox;Romantic-Comedy
222;Forgetting Sarah Marshall;Universal;Romantic-Comedy
223;Made of Honor;Sony Pictures;Romantic-Comedy
224;Definitely, Maybe;Universal;Romantic-Comedy
225;Leatherheads;Universal;Romantic-Comedy
226;P.S. I Love You;Warner Bros.;Romantic-Comedy
227;My Best Friend's Girl;Lionsgate;Romantic-Comedy
228;Ghost Town;Paramount Pictures;Romantic-Comedy
229;Smart People;Miramax;Romantic-Comedy
230;Enchanted;Walt Disney;Romantic-Comedy
231;Then She Found Me;ThinkFilm;Romantic-Comedy
232;Sukkar banat;Roadside Attractions;Romantic-Comedy
233;Bachna Ae Haseeno;Yash Raj Films;Romantic-Comedy
234;Noah's Arc: Jumping the Broom;Logo Features;Romantic-Comedy
235;Dan in Real Life;Walt Disney;Romantic-Comedy
236;Kismat Konnection;UTV Communications;Romantic-Comedy
237;Elsa & Fred;Mitropoulos Films;Romantic-Comedy
238;The Other End of the Line;MGM;Romantic-Comedy
239;The Perfect Holiday;Yari Film Group R…;Romantic-Comedy
240;I Can't Think Straight;Regent Releasing;Romantic-Comedy
241;Kiss the Bride;Regent Releasing;Romantic-Comedy
242;The Hottie and the Nottie;Regent Releasing;Romantic-Comedy
243;Antarctica;Regent Releasing;Romantic-Comedy
244;David & Layla;Newroz Films;Romantic-Comedy
