Id;Title;Distributor;Genre
223;L.I.E.;Lot 47 Films;Drama
224;The Center of the World;Artisan;Drama
225;The Luzhin Defence;Sony Pictures;Drama
226;Liam;Lionsgate;Drama
227;Encounter in the Third Dime…;nWave Pictures;Drama
228;Left Luggage;Castle Hill Produ…;Drama
229;Der Krieger und die Kaiserin;Sony Pictures Cla…;Drama
230;An American Rhapsody;Paramount Vantage;Drama
231;Requiem for a Dream;Artisan;Drama
232;The Business of Strangers;IFC Films;Drama
233;Chunhyang;Lot 47 Films;Drama
234;Yi Yi;WellSpring;Drama
235;The Man Who Cried;Focus Features;Drama
236;Faithless;IDP Distribution;Drama
237;Asoka;First Look;Drama
238;Panic;Roxie Releasing;Drama
239;The Caveman's Valentine;Focus Features;Drama
240;Lumumba;Zeitgeist;Drama
241;Focus;Paramount Vantage;Drama
242;The Legend of Rita;Kino International;Drama
243;The Other Side of Heaven;Excel Entertainment;Drama
244;Dayereh;WinStar Cinema;Drama
245;Yaadein;Tips Exports;Drama
246;15 fÃ©vrier 1839;Lionsgate;Drama
247;Dinner Rush;Access Motion Pic…;Drama
248;Les RiviÃ¨res Pourpres;;Drama
249;My First Mister;Paramount Vantage;Drama
250;Pay it Forward;Warner Bros.;Drama
251;Bread and Roses;Lionsgate;Drama
252;Our Lady of the Assassins;Paramount Vantage;Drama
253;Fat Girl;Cowboy Pictures;Drama
254;Big Eden;;Drama
255;Bully;Lionsgate;Drama
256;Intimacy;Empire Pictures;Drama
257;The Affair of the Necklace;Warner Bros.;Drama
258;Donnie Darko;Newmarket Films;Drama
259;Bride of the Wind;Paramount Vantage;Drama
260;Monster's Ball;Lionsgate;Drama
261;Lantana;Lionsgate;Drama
262;Nico and Dani;Avatar;Drama
263;No Man's Land;MGM;Drama
264;Wings of Courage;Sony Pictures Cla…;Drama
265;Chopper;First Look;Drama
266;Kandahar;Avatar;Drama
267;Plata quemada;Strand;Drama
268;The Fluffer;TLA Releasing;Drama
269;Bande Ã  part;Rialto Pictures;Drama
270;The Visit;;Drama
271;Series 7: The Contenders;;Drama
272;Boys to Men;Jour de Fete;Drama
273;A Time for Drunken Horses;Shooting Gallery;Drama
274;Place Vendome;Empire Pictures;Drama
275;Bounce;Miramax;Drama
276;Charlotte Gray;Warner Bros.;Drama
277;I Am Sam;New Line;Drama
278;Boys Life 3;Strand;Drama
279;Downtown 81;;Drama
280;ABCD;Eros Entertainment;Drama
281;Dekalog;New Yorker;Drama
282;Iris;Miramax;Drama
283;The Invisible Circus;;Drama
284;Eureka;;Drama
285;The Amati Girls;Providence Entert…;Drama
286;Aberdeen;First Run Features;Drama
287;AimÃ©e & Jaguar;Zeitgeist;Drama
288;Jackpot;;Drama
289;Bob le flambeur;Triumph Releasing;Drama
290;Abril Despedaçado;Miramax;Drama
291;Baran;Miramax;Drama
292;The Basket;MGM;Drama
293;Auggie Rose;Roxie Releasing;Drama
294;La baie des anges;Pathe Contemporar…;Drama
295;Sunshine;Paramount Vantage;Drama
296;Adanggaman;New Yorker;Drama
297;Cleopatra's Second Husband;Indican Pictures;Drama
298;Goya in Bordeaux;Sony Pictures Cla…;Drama
299;Maze;;Drama
300;Pola X;;Drama
301;Forgive Me Father;Myriad Entertainm…;Drama
302;The Annihilation of Fish;Regent Releasing;Drama
303;Ã  bout de souffle;Films Around the …;Drama
304;Journey to the Sun;;Drama
305;Otomo;ArtMattan Films;Drama
306;Beau Travail;New Yorker;Drama
307;Rembrandt;;Drama
308;Come and See;Self Distributed;Drama
309;The River;;Drama
310;La chambre des magiciennes;;Drama
311;Hamlet;;Drama
312;Burlesk King;Strand;Drama
313;The Weekend;;Drama
314;Mauvais sang;;Drama
315;Diary of a Chambermaid;;Drama
317;A Beautiful Mind;Universal;Drama
318;8 Mile;Universal;Drama
319;Road to Perdition;Dreamworks SKG;Drama
320;Catch Me if You Can;Dreamworks SKG;Drama
321;We Were Soldiers;Paramount Pictures;Drama
322;E.T. the Extra-Terrestrial;Universal;Drama
323;The Rookie;Walt Disney;Drama
324;Gangs of New York;Miramax;Drama
325;A Walk to Remember;Warner Bros.;Drama
326;I Am Sam;New Line;Drama
327;Blue Crush;Universal;Drama
328;Crossroads;Paramount Pictures;Drama
329;In the Bedroom;Miramax;Drama
330;Monster's Ball;Lionsgate;Drama
331;City by the Sea;Warner Bros.;Drama
332;Frida;Miramax;Drama
333;Hart's War;MGM;Drama
334;Tuck Everlasting;Walt Disney;Drama
335;The Four Feathers;Paramount Pictures;Drama
336;Empire;Universal;Drama
337;White Oleander;Warner Bros.;Drama
338;Solaris;20th Century Fox;Drama
339;The Good Girl;Fox Searchlight;Drama
340;The Emperor's Club;Universal;Drama
341;Y Tu MamÃ¡ TambiÃ©n;IFC Films;Drama
342;Undisputed;Miramax;Drama
343;About Schmidt;New Line;Drama
344;Knockaround Guys;New Line;Drama
345;Far From Heaven;Focus Features;Drama
346;Possession;Focus Features;Drama
347;Ali;Sony Pictures;Drama
348;The Shipping News;Miramax;Drama
349;Moonlight Mile;Walt Disney;Drama
350;Antwone Fisher;Fox Searchlight;Drama
351;Deuces Wild;MGM;Drama
352;Iris;Miramax;Drama
353;El crimen de padre Amaro;Goldwyn Entertain…;Drama
354;The Majestic;Warner Bros.;Drama
355;Lovely and Amazing;Lionsgate;Drama
356;Lantana;Lionsgate;Drama
357;The Other Side of Heaven;Excel Entertainment;Drama
358;Secretary;Lionsgate;Drama
359;The Fast Runner;Lot 47 Films;Drama
360;Thirteen Conversations Abou…;Sony Pictures Cla…;Drama
361;The Cat's Meow;Lionsgate;Drama
362;American Adobo;Outrider Pictures;Drama
363;Sunshine State;Sony Pictures Cla…;Drama
364;Paid in Full;Rat Entertainment;Drama
365;Sex and Lucia;Palm Pictures;Drama
366;Last Orders;Sony Pictures Cla…;Drama
367;Hable con ella;Sony Pictures Cla…;Drama
368;Auto Focus;Sony Pictures Cla…;Drama
369;La Pianiste;Kino International;Drama
